date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-11-13,813,4320,3026948,700.682407407407,,0.162851378590078,,0.171246,,62.372078,,0,0,,0,,11.72541091,,,,,,31112484745,383,735,2653423830.752547,,19921593.9775138,,7011201.721245,,14642371573.472629,,,,
2017-11-14,986,4320,2919661,675.847453703704,,0.160339308035714,,0.171246,,71.83201,,0,0,,0,,44.77856966,,,,,,31112484745,448,851,694807471.151935,,2114912.47572765,,2823518.120661,,1799790516.844234,,,,
2017-11-15,1000,4320,3040398,703.795833333333,,0.160586047511312,,0.171246,,70.979033,,0,0,,0,,54.73524083,,,,,,31112484745,442,845,568417792.123939,,2344761.71005882,,6549597.521452,,1981323644.999703,,,,
2017-11-16,968,4320,2918307,675.534027777778,,0.16246930248307,,0.171246,,71.973901,,0,0,,0,,35.4384512,,,,,,31112484745,443,858,877930149.18757,,2710681.13169646,,6285948.18704,,2325764410.995567,,,,
2017-11-17,817,4320,3037527,703.13125,,0.164188508108108,,0.171246,,60.749748,,0,0,,0,,12.04197695,,,,,,31112484745,370,718,2583669183.59346,,5905128.13953494,,6185764.686442,,4239882004.18609,,,,
2017-11-18,963,4319,3048310,705.790692289882,,0.1624069375,,0.171246,,72.758308,,0,0,,0,,45.83844899,,,,,,31112484745,448,866,678742091.598599,,5308882.72373298,,7778281.37982,,4597492438.752762,,,,
2017-11-19,973,4314,2914884,675.680111265647,,0.165506528216704,,0.171246,,73.319392,,0,0,,0,,64.24139495,,,,,,31112484745,443,860,484305871.14019,,2252496.88208694,,6032543.504797,,1937147318.59477,,,,
2017-11-20,1474,4320,3128383,724.162731481482,,0.165967634218289,,0.171246,,112.526056,,0,0,,0,,11.6351678,,,,,,31112484745,678,1319,2674003957.118392,,8960702.90665962,,5894743.461155,,11819167133.884033,,,,
2017-11-21,1163,4320,2958753,684.896527777778,,0.168456677121771,,0.171246,,91.303519,,0,0,,0,,62.41763651,,,,,,31112484745,542,1066,498456629.935383,,3651863.41353381,,5919122.294772,,3892886398.82704,,,,
2017-11-22,1014,4320,3074205,711.621527777778,,0.163932936170213,,0.171246,,77.04848,,0,0,,0,,42.67092992,,,,,,31112484745,470,904,729126006.972614,,2287689.25574501,,5667969.954356,,2068071087.193485,,,,
2017-11-23,1041,4320,3069089,710.437268518519,,0.168187550515464,,0.171246,,81.570962,,0,0,,0,,64.83548243,,,,,,31112484745,485,947,479868176.816606,,2332214.02416595,,5509063.577752,,2208606680.885153,,,,
2017-11-24,1029,4320,2928865,677.978009259259,,0.165944284188034,,0.171246,,77.661925,,0,0,,0,,49.77047589,,,,,,31112484745,468,907,625119293.92867,,2449399.72403671,,5373803.489676,,2221605549.701297,,,,
2017-11-25,1085,4320,3059328,708.177777777778,,0.167521546747967,,0.171246,,82.420601,,0,0,,0,,48.98839476,,,,,,31112484745,492,957,635099086.186144,,2091892.83612446,,5228883.850212,,2001941444.171108,,,,
2017-11-26,1757,4320,3060071,708.349768518519,,0.16775172997416,,0.171246,,129.839839,,0,0,,0,,42.07086936,,,,,,31112484745,774,1510,739525596.251354,,1784147.18813791,,5084096.11115,,2694062254.08825,,,,
2017-11-27,2668,4319,3367280,779.643435980551,,0.167633953871499,,0.171246,,203.50762,,0,0,,0,,29.83427057,,,,,,31112484745,1214,2364,1042843821.872688,,2871191.09253991,,5043778.012118,,6787495742.764336,,,,
2017-11-28,4719,4320,3765071,871.544212962963,,0.16986751897019,,0.171246,,376.086687,,0,0,,0,,22.19208802,,,,,,31112484745,2214,4350,1401962929.835392,,1642059.87237962,,4807668.125739,,7142960444.851363,,,,
