Date,Open,High,Low,Close,Adj Close,Volume
2019-02-08,0.036399,0.041207,0.036228,0.040751,0.040751,32705206
2019-02-09,0.040775,0.041990,0.040456,0.041058,0.041058,18529364
2019-02-10,0.041050,0.042994,0.040007,0.042830,0.042830,22634046
2019-02-11,0.042772,0.042772,0.041485,0.041733,0.041733,17847243
2019-02-12,0.041680,0.041991,0.040635,0.041751,0.041751,14893311
2019-02-13,0.041755,0.042310,0.041048,0.041118,0.041118,12736279
2019-02-14,0.041136,0.041355,0.040222,0.040540,0.040540,11428289
2019-02-15,0.040536,0.041366,0.040253,0.040600,0.040600,13336096
2019-02-16,0.040619,0.041254,0.040569,0.041026,0.041026,11097835
2019-02-17,0.041027,0.041844,0.040612,0.041452,0.041452,15275650
2019-02-18,0.041468,0.046690,0.041380,0.045605,0.045605,36845045
2019-02-19,0.045682,0.048026,0.045656,0.046158,0.046158,42563542
2019-02-20,0.046177,0.047665,0.045291,0.047551,0.047551,25594088
2019-02-21,0.047584,0.047779,0.044740,0.044969,0.044969,25111686
2019-02-22,0.045041,0.046163,0.044838,0.046163,0.046163,17691041
2019-02-23,0.045982,0.048885,0.045719,0.048593,0.048593,27665132
2019-02-24,0.048727,0.050460,0.042064,0.042456,0.042456,51650807
2019-02-25,0.042168,0.044568,0.042168,0.044043,0.044043,24692109
2019-02-26,0.043965,0.044019,0.042798,0.043304,0.043304,16641229
2019-02-27,0.043329,0.043822,0.042097,0.043270,0.043270,18346578
2019-02-28,0.043245,0.043725,0.042948,0.043123,0.043123,14678619
2019-03-01,0.043112,0.044113,0.043078,0.043279,0.043279,12997143
2019-03-02,0.043217,0.043532,0.042480,0.042838,0.042838,11304262
2019-03-03,0.042853,0.042996,0.042158,0.042312,0.042312,11011516
2019-03-04,0.042303,0.042477,0.039830,0.040602,0.040602,18487838
2019-03-05,0.040599,0.043353,0.040299,0.043212,0.043212,20952203
2019-03-06,0.043185,0.043470,0.042354,0.042843,0.042843,15221352
2019-03-07,0.042850,0.043581,0.042513,0.042944,0.042944,17201355
2019-03-08,0.042952,0.043794,0.042461,0.042664,0.042664,20315017
2019-03-09,0.042686,0.046951,0.042656,0.046728,0.046728,52185658
2019-03-10,0.046754,0.046754,0.044463,0.045698,0.045698,27465021
2019-03-11,0.045697,0.048525,0.044979,0.047633,0.047633,54732769
2019-03-12,0.047665,0.048216,0.045893,0.047397,0.047397,35348848
2019-03-13,0.047366,0.048584,0.046211,0.046590,0.046590,29855262
2019-03-14,0.046575,0.048252,0.046348,0.048055,0.048055,26216581
